episode,reward,length
1,0.0,5
2,0.0,3
3,0.0,5
4,0.0,5
5,0.0,5
6,0.0,5
7,0.0,5
8,0.0,5
9,0.0,5
10,1.0,16
11,0.0,5
12,0.0,5
13,0.0,5
14,1.0,14
15,1.0,17
16,0.0,5
17,2.0,21
18,1.0,17
19,0.0,5
20,0.0,5
21,0.0,5
22,1.0,14
23,0.0,5
24,1.0,12
25,0.0,5
26,1.0,16
27,1.0,17
28,0.0,5
29,0.0,5
30,0.0,5
31,1.0,16
32,0.0,3
33,0.0,5
34,2.0,22
35,0.0,5
36,0.0,5
37,0.0,5
38,2.0,21
39,1.0,17
40,0.0,3
41,0.0,5
42,0.0,5
43,0.0,5
44,0.0,3
45,0.0,5
46,0.0,5
47,0.0,5
48,0.0,5
49,0.0,5
50,2.0,28
51,2.0,29
52,0.0,5
53,1.0,17
54,0.0,3
55,1.0,12
56,0.0,5
57,1.0,14
58,1.0,12
59,2.0,24
60,0.0,5
61,0.0,5
62,0.0,3
63,1.0,16
64,2.0,29
65,0.0,5
66,0.0,5
67,0.0,5
68,0.0,5
69,1.0,16
70,1.0,17
71,0.0,5
72,0.0,5
73,0.0,5
74,2.0,28
75,0.0,5
76,0.0,5
77,0.0,5
78,0.0,5
79,0.0,5
80,0.0,5
81,0.0,5
82,1.0,14
83,1.0,12
84,1.0,17
85,0.0,5
86,0.0,5
87,3.0,34
88,0.0,5
89,0.0,5
90,0.0,5
91,3.0,36
92,1.0,17
93,0.0,3
94,0.0,5
95,1.0,11
96,0.0,5
97,1.0,14
98,0.0,5
99,1.0,15
100,0.0,3
101,0.0,5
102,0.0,5
103,0.0,5
104,0.0,5
105,0.0,5
106,0.0,5
107,1.0,16
108,0.0,5
109,1.0,17
110,2.0,26
111,0.0,5
112,0.0,3
113,0.0,5
114,1.0,16
115,1.0,17
116,0.0,5
117,0.0,5
118,0.0,5
119,1.0,14
120,0.0,5
121,0.0,5
122,0.0,5
123,0.0,5
124,2.0,23
125,0.0,5
126,1.0,12
127,0.0,5
128,0.0,3
129,0.0,5
130,0.0,3
131,0.0,5
132,0.0,5
133,0.0,5
134,0.0,5
135,1.0,12
136,1.0,16
137,1.0,16
138,0.0,5
139,1.0,15
140,0.0,5
141,0.0,5
142,0.0,5
143,3.0,34
144,1.0,17
145,0.0,5
146,0.0,5
147,1.0,14
148,0.0,5
149,0.0,3
150,0.0,5
151,0.0,5
152,0.0,5
153,0.0,5
154,0.0,5
155,3.0,36
156,0.0,5
157,0.0,5
158,0.0,5
159,0.0,3
160,0.0,5
161,0.0,5
162,0.0,3
163,0.0,5
164,1.0,10
165,0.0,5
166,0.0,5
167,0.0,5
168,0.0,5
169,0.0,5
170,1.0,14
171,0.0,5
172,0.0,5
173,1.0,14
174,0.0,3
175,0.0,5
176,0.0,5
177,0.0,5
178,0.0,5
179,0.0,5
180,2.0,21
181,0.0,5
182,1.0,14
183,0.0,5
184,1.0,12
185,0.0,5
186,0.0,5
187,1.0,14
188,1.0,17
189,0.0,5
190,0.0,5
191,0.0,5
192,0.0,5
193,0.0,5
194,0.0,5
195,0.0,5
196,0.0,5
197,0.0,5
198,0.0,5
199,0.0,5
200,0.0,5
201,0.0,5
202,0.0,5
203,3.0,31
204,1.0,17
205,1.0,18
206,0.0,5
207,3.0,34
208,0.0,3
209,0.0,5
210,0.0,5
211,0.0,5
212,0.0,5
213,2.0,21
214,1.0,17
215,1.0,17
216,0.0,5
217,0.0,5
218,0.0,3
219,1.0,16
220,0.0,5
221,0.0,5
222,2.0,29
223,1.0,12
224,1.0,16
225,0.0,5
226,3.0,40
227,0.0,5
228,1.0,14
229,0.0,5
230,0.0,5
231,0.0,5
232,0.0,5
233,0.0,5
234,0.0,5
235,2.0,23
236,0.0,5
237,0.0,5
238,2.0,23
239,0.0,5
240,1.0,17
241,0.0,5
242,0.0,5
243,0.0,5
244,0.0,5
245,0.0,5
246,2.0,23
247,0.0,5
248,0.0,5
249,1.0,17
250,0.0,5
251,0.0,5
252,0.0,5
253,2.0,23
254,0.0,5
255,0.0,5
256,2.0,23
257,0.0,5
258,0.0,5
259,1.0,17
260,0.0,5
261,0.0,5
262,0.0,5
263,0.0,5
264,2.0,23
265,0.0,5
266,0.0,5
267,0.0,5
268,0.0,5
269,0.0,5
270,0.0,5
271,0.0,5
272,2.0,23
273,1.0,17
274,0.0,5
275,1.0,17
276,2.0,23
277,0.0,5
278,1.0,15
279,0.0,3
280,0.0,5
281,0.0,5
282,2.0,21
283,0.0,3
284,0.0,3
285,1.0,12
286,0.0,5
287,1.0,12
288,0.0,5
289,0.0,5
290,2.0,23
291,0.0,5
292,0.0,5
293,0.0,5
294,2.0,23
295,0.0,5
296,0.0,5
297,0.0,5
298,0.0,5
299,0.0,5
300,2.0,23
301,2.0,23
302,0.0,5
303,0.0,5
304,0.0,5
305,0.0,5
306,0.0,5
307,2.0,21
308,0.0,3
309,0.0,3
310,0.0,4
311,0.0,5
312,1.0,14
313,1.0,12
314,1.0,12
315,1.0,12
316,1.0,16
317,1.0,12
318,1.0,12
319,1.0,12
320,1.0,13
321,4.0,45
322,0.0,3
323,0.0,3
324,0.0,3
325,2.0,22
326,0.0,5
327,0.0,5
328,0.0,5
329,2.0,23
330,0.0,5
331,0.0,5
332,0.0,5
333,0.0,5
334,0.0,5
335,0.0,5
336,0.0,5
337,0.0,5
338,0.0,5
339,0.0,5
340,0.0,5
341,1.0,16
342,1.0,12
343,1.0,12
344,0.0,5
345,0.0,5
346,4.0,45
347,1.0,12
348,1.0,12
349,0.0,5
350,0.0,5
351,0.0,5
352,1.0,16
353,0.0,5
354,1.0,12
355,0.0,5
356,0.0,5
357,0.0,5
358,1.0,16
359,0.0,5
360,1.0,15
361,0.0,5
362,2.0,21
363,0.0,3
364,0.0,3
365,0.0,5
366,2.0,23
367,0.0,3
368,0.0,3
369,0.0,5
370,1.0,15
371,0.0,5
372,0.0,5
373,0.0,5
374,0.0,5
375,0.0,5
376,0.0,5
377,0.0,5
378,0.0,5
379,0.0,5
380,2.0,23
381,0.0,5
382,3.0,41
383,1.0,17
384,0.0,5
385,1.0,17
386,0.0,5
387,0.0,5
388,0.0,5
389,0.0,5
390,0.0,5
391,0.0,5
392,0.0,5
393,0.0,5
394,0.0,5
395,0.0,5
396,0.0,5
397,0.0,5
398,0.0,5
399,2.0,23
400,0.0,5
401,0.0,5
402,0.0,5
403,0.0,5
404,1.0,16
405,0.0,5
406,0.0,5
407,2.0,23
408,0.0,5
409,0.0,5
410,0.0,5
411,0.0,5
412,0.0,5
413,2.0,23
414,0.0,5
415,1.0,15
416,0.0,5
417,4.0,45
418,1.0,12
419,0.0,5
420,0.0,5
421,0.0,5
422,1.0,12
423,1.0,12
424,1.0,12
425,1.0,13
426,0.0,5
427,0.0,5
428,0.0,5
429,0.0,5
430,0.0,5
431,0.0,5
432,0.0,5
433,0.0,5
434,2.0,23
435,0.0,5
436,0.0,5
437,0.0,5
438,0.0,5
439,0.0,5
440,0.0,5
441,2.0,23
442,1.0,17
443,0.0,5
444,1.0,12
445,3.0,41
446,1.0,12
447,1.0,12
448,0.0,5
449,0.0,5
450,0.0,5
451,1.0,16
452,0.0,5
453,0.0,5
454,1.0,12
455,1.0,12
456,0.0,5
457,0.0,5
458,0.0,5
459,0.0,5
460,2.0,23
461,0.0,5
462,2.0,23
463,0.0,3
464,0.0,3
465,0.0,5
466,0.0,5
467,2.0,21
468,0.0,3
469,0.0,3
470,0.0,5
471,1.0,16
