episode,reward,length
1,0.0,5
2,0.0,5
3,2.0,21
4,0.0,3
5,0.0,3
6,0.0,5
7,0.0,5
8,0.0,5
9,0.0,5
10,0.0,3
11,0.0,5
12,0.0,5
13,0.0,5
14,0.0,5
15,0.0,5
16,0.0,5
17,1.0,16
18,1.0,12
19,0.0,5
20,0.0,3
21,5.0,43
22,0.0,3
23,0.0,3
24,1.0,12
25,0.0,5
26,2.0,23
27,0.0,5
28,0.0,5
29,0.0,5
30,2.0,28
31,0.0,5
32,0.0,5
33,0.0,3
34,0.0,5
35,0.0,5
36,0.0,5
37,0.0,3
38,0.0,3
39,0.0,5
40,2.0,27
41,0.0,5
42,0.0,5
43,0.0,5
44,0.0,5
45,0.0,5
46,1.0,16
47,0.0,3
48,0.0,5
49,0.0,5
50,0.0,5
51,0.0,5
52,0.0,5
53,1.0,14
54,0.0,5
55,1.0,17
56,2.0,23
57,0.0,5
58,0.0,5
59,1.0,15
60,0.0,3
61,0.0,5
62,0.0,3
63,0.0,3
64,0.0,5
65,1.0,14
66,0.0,5
67,0.0,5
68,1.0,14
69,0.0,3
70,1.0,17
71,0.0,5
72,1.0,16
73,0.0,5
74,0.0,5
75,1.0,15
76,0.0,5
77,0.0,5
78,0.0,5
79,0.0,5
80,0.0,5
81,1.0,16
82,3.0,41
83,0.0,5
84,1.0,15
85,0.0,5
86,0.0,5
87,1.0,14
88,0.0,5
89,0.0,5
90,1.0,15
91,0.0,5
92,2.0,19
93,0.0,5
94,0.0,5
95,0.0,5
96,0.0,5
97,0.0,5
98,1.0,14
99,0.0,5
100,1.0,15
101,0.0,5
102,0.0,5
103,0.0,5
104,0.0,5
105,0.0,5
106,1.0,16
107,0.0,5
108,0.0,5
109,0.0,5
110,0.0,5
111,0.0,5
112,0.0,5
113,0.0,5
114,2.0,21
115,0.0,5
116,0.0,5
117,0.0,5
118,0.0,5
119,0.0,5
120,2.0,28
121,0.0,5
122,3.0,36
123,1.0,16
124,0.0,5
125,0.0,5
126,0.0,5
127,1.0,16
128,1.0,17
129,0.0,5
130,1.0,17
131,0.0,5
132,0.0,5
133,0.0,5
134,1.0,14
135,0.0,5
136,0.0,5
137,1.0,12
138,0.0,3
139,0.0,5
140,1.0,12
141,3.0,41
142,0.0,5
143,0.0,5
144,1.0,17
145,0.0,5
146,0.0,5
147,0.0,5
148,0.0,5
149,0.0,5
150,0.0,5
151,2.0,23
152,0.0,5
153,0.0,5
154,0.0,5
155,0.0,5
156,0.0,5
157,1.0,14
158,0.0,5
159,0.0,5
160,0.0,5
161,0.0,5
162,0.0,5
163,0.0,5
164,1.0,16
165,0.0,3
166,0.0,5
167,1.0,14
168,0.0,5
169,1.0,17
170,0.0,5
171,0.0,5
172,0.0,5
173,0.0,3
174,0.0,5
175,0.0,5
176,0.0,5
177,0.0,5
178,0.0,5
179,0.0,5
180,0.0,5
181,0.0,5
182,1.0,14
183,1.0,17
184,0.0,3
185,0.0,5
186,1.0,12
187,0.0,5
188,0.0,5
189,2.0,27
190,0.0,3
191,0.0,5
192,0.0,5
193,0.0,5
194,0.0,5
195,0.0,3
196,0.0,5
197,0.0,5
198,1.0,10
199,0.0,5
200,0.0,5
201,0.0,5
202,0.0,5
203,0.0,5
204,1.0,16
205,0.0,5
206,0.0,5
207,0.0,5
208,3.0,36
209,0.0,3
210,4.0,37
211,0.0,5
212,0.0,5
213,0.0,5
214,0.0,5
215,0.0,3
216,0.0,5
217,0.0,5
218,0.0,5
219,1.0,12
220,0.0,5
221,2.0,23
222,0.0,5
223,0.0,5
224,0.0,5
225,0.0,5
226,0.0,5
227,0.0,5
228,0.0,5
229,0.0,5
230,0.0,5
231,0.0,5
232,3.0,34
233,1.0,17
234,0.0,3
235,1.0,17
236,0.0,5
237,0.0,5
238,0.0,5
239,0.0,5
240,0.0,5
241,0.0,5
242,0.0,5
243,0.0,5
244,0.0,5
245,0.0,5
246,0.0,5
247,2.0,21
248,0.0,5
249,0.0,5
250,1.0,17
251,1.0,16
252,0.0,5
253,1.0,15
254,0.0,5
255,0.0,5
256,0.0,5
257,0.0,5
258,2.0,21
259,1.0,17
260,0.0,5
261,0.0,5
262,0.0,5
263,0.0,5
264,0.0,5
265,0.0,3
266,0.0,5
267,0.0,5
268,0.0,5
269,0.0,5
270,0.0,5
271,0.0,5
272,1.0,14
273,0.0,5
274,0.0,5
275,0.0,3
276,0.0,5
277,0.0,3
278,0.0,5
279,0.0,5
280,0.0,5
281,3.0,40
282,0.0,5
283,0.0,3
284,0.0,3
285,0.0,5
286,0.0,5
287,0.0,5
288,0.0,5
289,1.0,12
290,0.0,5
291,2.0,29
292,0.0,5
293,0.0,5
294,0.0,5
295,0.0,3
296,0.0,5
297,1.0,12
298,0.0,5
299,0.0,3
300,0.0,5
301,1.0,16
302,0.0,5
303,0.0,3
304,1.0,17
305,0.0,5
306,0.0,5
307,0.0,5
308,2.0,21
309,0.0,3
310,0.0,3
311,0.0,5
312,0.0,5
313,0.0,5
314,0.0,5
315,1.0,16
316,1.0,16
317,0.0,3
318,0.0,3
319,0.0,5
320,0.0,5
321,0.0,5
322,1.0,14
323,0.0,5
324,0.0,5
325,0.0,5
326,2.0,29
327,0.0,5
328,0.0,5
329,1.0,12
330,1.0,12
331,0.0,5
332,0.0,5
333,0.0,5
334,0.0,5
335,0.0,5
336,0.0,5
337,0.0,5
338,0.0,5
339,0.0,5
340,0.0,5
341,3.0,40
342,1.0,12
343,1.0,16
344,0.0,5
345,1.0,15
346,0.0,5
347,1.0,16
348,1.0,12
349,0.0,5
350,0.0,5
351,1.0,16
352,0.0,5
353,1.0,15
354,0.0,5
355,0.0,5
356,1.0,16
357,1.0,17
358,1.0,17
359,0.0,5
360,0.0,5
361,0.0,5
362,1.0,14
363,1.0,12
364,0.0,5
365,0.0,5
366,0.0,5
367,2.0,29
368,0.0,5
369,2.0,27
370,0.0,3
371,0.0,5
372,0.0,5
373,3.0,34
374,0.0,5
375,1.0,15
376,0.0,5
377,0.0,5
378,0.0,5
379,0.0,5
380,0.0,5
381,1.0,16
382,0.0,5
383,1.0,15
384,0.0,3
385,0.0,5
386,0.0,5
387,2.0,21
388,1.0,17
389,0.0,3
390,0.0,5
391,0.0,5
392,2.0,27
393,0.0,3
394,1.0,12
395,0.0,5
396,0.0,5
397,0.0,5
398,0.0,3
399,0.0,5
400,0.0,5
401,0.0,5
402,0.0,5
403,2.0,21
404,0.0,3
405,0.0,3
406,0.0,5
407,0.0,5
408,0.0,5
409,0.0,3
410,0.0,3
411,0.0,5
412,1.0,14
413,0.0,3
414,0.0,5
415,0.0,5
416,0.0,5
417,1.0,14
418,0.0,5
419,0.0,5
420,1.0,10
421,0.0,5
422,1.0,14
423,0.0,3
424,0.0,3
425,1.0,17
426,0.0,5
427,0.0,5
428,1.0,16
429,0.0,3
430,0.0,5
431,0.0,5
432,0.0,3
433,3.0,40
434,0.0,5
435,1.0,12
436,1.0,16
437,0.0,5
438,0.0,5
439,0.0,5
440,1.0,16
441,0.0,5
442,0.0,5
443,2.0,20
444,0.0,5
445,1.0,16
446,0.0,5
447,1.0,12
448,0.0,5
449,0.0,5
450,0.0,5
451,0.0,5
452,0.0,5
453,0.0,5
454,1.0,14
455,0.0,3
456,0.0,5
457,0.0,5
458,0.0,5
459,0.0,3
460,0.0,5
461,0.0,5
