episode,reward,length
1,0.0,5
2,0.0,5
3,0.0,5
4,2.0,23
5,0.0,5
6,0.0,5
7,2.0,27
8,0.0,5
9,0.0,5
10,1.0,15
11,1.0,16
12,0.0,5
13,0.0,5
14,0.0,5
15,0.0,5
16,0.0,5
17,0.0,5
18,2.0,21
19,1.0,16
20,0.0,5
21,1.0,16
22,1.0,12
23,0.0,5
24,0.0,5
25,0.0,3
26,0.0,5
27,0.0,5
28,1.0,16
29,0.0,3
30,0.0,5
31,0.0,5
32,6.0,51
33,0.0,5
34,0.0,5
35,0.0,5
36,0.0,5
37,0.0,5
38,1.0,14
39,0.0,5
40,0.0,5
41,0.0,5
42,1.0,14
43,0.0,3
44,0.0,5
45,0.0,5
46,0.0,5
47,0.0,5
48,0.0,5
49,1.0,16
50,0.0,5
51,1.0,16
52,0.0,5
53,0.0,5
54,2.0,21
55,0.0,3
56,0.0,5
57,0.0,5
58,0.0,5
59,0.0,5
60,1.0,14
61,0.0,5
62,0.0,5
63,2.0,27
64,0.0,5
65,1.0,17
66,0.0,5
67,0.0,5
68,0.0,5
69,1.0,12
70,2.0,28
71,0.0,5
72,0.0,5
73,0.0,5
74,1.0,14
75,0.0,5
76,1.0,16
77,0.0,3
78,0.0,5
79,1.0,15
80,1.0,12
81,1.0,12
82,0.0,5
83,0.0,5
84,0.0,5
85,1.0,16
86,0.0,5
87,0.0,5
88,1.0,16
89,0.0,5
90,0.0,5
91,0.0,5
92,0.0,5
93,0.0,5
94,0.0,5
95,1.0,12
96,0.0,5
97,2.0,21
98,0.0,3
99,0.0,5
100,0.0,5
101,0.0,5
102,0.0,5
103,1.0,16
104,0.0,3
105,0.0,5
106,0.0,5
107,0.0,3
108,0.0,5
109,1.0,14
110,1.0,17
111,2.0,23
112,1.0,17
113,0.0,5
114,2.0,29
115,0.0,3
116,0.0,5
117,0.0,5
118,1.0,14
119,0.0,5
120,0.0,5
121,0.0,5
122,1.0,14
123,0.0,3
124,0.0,5
125,1.0,17
126,0.0,5
127,3.0,34
128,0.0,3
129,0.0,3
130,0.0,5
131,0.0,5
132,0.0,5
133,0.0,3
134,0.0,5
135,1.0,16
136,2.0,23
137,0.0,5
138,0.0,5
139,0.0,5
140,0.0,5
141,0.0,5
142,0.0,5
143,0.0,5
144,0.0,5
145,1.0,14
146,0.0,5
147,1.0,14
148,0.0,3
149,0.0,5
150,0.0,5
151,0.0,5
152,0.0,5
153,0.0,5
154,2.0,21
155,0.0,5
156,0.0,5
157,0.0,5
158,1.0,14
159,2.0,28
160,0.0,5
161,0.0,5
162,2.0,21
163,0.0,3
164,0.0,3
165,0.0,5
166,0.0,5
167,0.0,3
168,0.0,5
169,1.0,14
170,1.0,15
171,0.0,5
172,0.0,5
173,0.0,5
174,1.0,14
175,0.0,5
176,0.0,5
177,2.0,21
178,0.0,3
179,0.0,5
180,0.0,5
181,0.0,5
182,0.0,5
183,0.0,5
184,0.0,5
185,1.0,16
186,0.0,5
187,1.0,16
188,1.0,12
189,0.0,5
190,0.0,5
191,0.0,5
192,0.0,5
193,0.0,5
194,2.0,23
195,0.0,3
196,0.0,5
197,1.0,14
198,0.0,3
199,1.0,12
200,0.0,5
201,0.0,5
202,0.0,5
203,1.0,14
204,0.0,5
205,0.0,5
206,0.0,5
207,0.0,5
208,0.0,5
209,0.0,5
210,0.0,5
211,0.0,5
212,0.0,5
213,0.0,5
214,0.0,5
215,2.0,23
216,0.0,5
217,0.0,5
218,1.0,12
219,0.0,5
220,0.0,5
221,0.0,5
222,0.0,5
223,0.0,5
224,1.0,14
225,0.0,5
226,0.0,5
227,1.0,14
228,0.0,5
229,1.0,15
230,0.0,5
231,0.0,5
232,0.0,5
233,1.0,17
234,0.0,5
235,2.0,21
236,0.0,5
237,0.0,5
238,1.0,16
239,0.0,5
240,0.0,5
241,0.0,5
242,1.0,16
243,0.0,5
244,0.0,5
245,0.0,5
246,0.0,5
247,0.0,5
248,0.0,5
249,0.0,5
250,0.0,5
251,0.0,5
252,0.0,5
253,1.0,14
254,0.0,3
255,0.0,5
256,0.0,5
257,1.0,16
258,0.0,5
259,0.0,3
260,0.0,5
261,0.0,5
262,2.0,21
263,0.0,5
264,0.0,5
265,0.0,5
266,0.0,5
267,2.0,27
268,0.0,5
269,0.0,5
270,1.0,15
271,0.0,5
272,0.0,5
273,0.0,5
274,1.0,14
275,0.0,5
276,0.0,5
277,4.0,39
278,0.0,5
279,0.0,5
280,0.0,5
281,0.0,5
282,0.0,5
283,1.0,14
284,0.0,3
285,0.0,5
286,0.0,5
287,0.0,5
288,0.0,5
289,0.0,5
290,0.0,5
291,0.0,5
292,1.0,12
293,1.0,10
294,0.0,5
295,2.0,21
296,0.0,5
297,0.0,5
298,0.0,5
299,2.0,21
300,0.0,5
301,2.0,23
302,1.0,16
303,0.0,5
304,2.0,24
305,0.0,5
306,0.0,5
307,0.0,5
308,0.0,5
309,1.0,14
310,0.0,5
311,0.0,5
312,2.0,27
313,0.0,3
314,0.0,3
315,0.0,3
316,0.0,5
317,2.0,21
318,0.0,5
319,1.0,15
320,0.0,5
321,1.0,16
322,0.0,3
323,0.0,3
324,0.0,5
325,0.0,3
326,0.0,5
327,0.0,5
328,0.0,5
329,1.0,14
330,0.0,3
331,0.0,5
332,1.0,14
333,3.0,41
334,2.0,24
335,0.0,5
336,0.0,5
337,1.0,12
338,0.0,3
339,0.0,5
340,2.0,23
341,0.0,5
342,1.0,16
343,0.0,5
344,0.0,5
345,1.0,17
346,0.0,5
347,0.0,5
348,0.0,5
349,0.0,5
350,0.0,5
351,0.0,5
352,2.0,21
353,1.0,12
354,0.0,5
355,1.0,17
356,0.0,5
357,0.0,5
358,0.0,5
359,0.0,5
360,1.0,14
361,0.0,5
362,2.0,21
363,0.0,5
364,0.0,5
365,1.0,17
366,0.0,5
367,1.0,14
368,1.0,17
369,1.0,16
370,0.0,5
371,0.0,5
372,0.0,5
373,1.0,14
374,0.0,5
375,0.0,5
376,0.0,5
377,0.0,5
378,0.0,5
379,0.0,5
380,0.0,5
381,0.0,5
382,0.0,5
383,0.0,5
384,0.0,5
385,1.0,17
386,0.0,5
387,0.0,5
388,0.0,5
389,0.0,5
390,0.0,5
391,2.0,28
392,1.0,16
393,0.0,5
394,0.0,5
395,0.0,5
396,0.0,5
397,0.0,5
398,0.0,5
399,1.0,14
400,0.0,3
401,0.0,5
402,1.0,14
403,0.0,5
404,0.0,5
405,1.0,15
406,0.0,5
407,0.0,5
408,2.0,21
409,0.0,5
410,1.0,12
411,3.0,40
412,0.0,5
413,0.0,5
414,0.0,5
415,0.0,5
416,0.0,5
417,1.0,12
418,0.0,5
419,0.0,5
420,0.0,5
421,0.0,5
422,0.0,5
423,0.0,5
424,0.0,5
425,0.0,5
426,0.0,5
427,0.0,3
428,0.0,3
429,0.0,5
430,0.0,5
431,0.0,5
432,0.0,5
433,0.0,5
434,0.0,5
435,0.0,3
436,0.0,5
437,0.0,5
438,2.0,23
439,0.0,3
440,0.0,3
441,0.0,5
442,1.0,14
443,0.0,5
444,0.0,5
445,0.0,5
446,0.0,5
447,0.0,5
448,0.0,5
449,1.0,16
450,0.0,5
451,0.0,5
452,4.0,39
453,0.0,5
454,0.0,5
455,0.0,5
456,0.0,5
457,0.0,5
458,0.0,5
459,2.0,27
460,0.0,3
461,0.0,5
